ft,bt,km,centralVariantId,transmission,ownerNo,oem,modelYear,price,Year of Manufacture,Insurance Validity,Mileage,Engine,city,Seating Capacity,Gear Box,No of Cylinder,Max Power,Torque,Length,Width,Height,car_links
Petrol,Hatchback,120000,3979,Manual,3,Maruti,2015,400000,2015.0,Third Party,23.1,998,bangalore,5,5-speed,3.0,67.0,90.0,3715.0,1635.0,1565.0,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Vxi-cars-Bangalore_a12b21b4-e26a-41bf-8f47-7e79a725a246.htm
Petrol,SUV,32706,6087,Manual,2,Ford,2018,811000,2018.0,Comprehensive,17.0,1497,bangalore,5,5-speed,3.0,121.0,150.0,3998.0,1765.0,1647.0,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Bsiv-cars-Bangalore_d88ffc79-1d90-405c-a944-051888866d13.htm
Petrol,Hatchback,11949,2983,Manual,1,Tata,2018,585000,2018.0,Comprehensive,23.84,1199,bangalore,5,5-speed,3.0,84.0,114.0,3746.0,1647.0,1535.0,https://www.cardekho.com/used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-cars-Bangalore_8554c91f-7b6e-417d-aeca-b8c5ac6794a5.htm
Petrol,Sedan,17794,1867,Manual,1,Hyundai,2014,462000,2014.0,Comprehensive,19.1,1197,bangalore,5,5-speed,4.0,81.0,113.0,3995.0,1660.0,1520.0,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Xcent-1.2-Kappa-S-Option-cars-Bangalore_fc261f01-eeee-4f1b-bc45-e291d52fdda8.htm
Diesel,SUV,60000,4277,Manual,1,Maruti,2015,790000,2015.0,Third Party,23.65,1248,bangalore,5,5-speed,4.0,88.0,200.0,4300.0,1785.0,1595.0,https://www.cardekho.com/used-car-details/used-Maruti-Sx4-S-Cross-Ddis-200-Zeta-cars-Bangalore_93f9db43-24a0-46d2-abd9-7450d04c0544.htm
Diesel,SUV,20000,5931,Manual,1,Jeep,2020,1900000,2020.0,Third Party,17.1,1956,bangalore,5,6-speed,4.0,170.0,350.0,4395.0,1818.0,1640.0,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Longitude-Bsiv-cars-Bangalore_91fc45f5-5207-4884-95d1-ce3fe163f05d.htm
Petrol,Hatchback,37772,5223,Manual,1,Datsun,2017,345000,2017.0,Comprehensive,20.63,1198,bangalore,5,5-speed,3.0,67.0,104.0,3785.0,1635.0,1490.0,https://www.cardekho.com/buy-used-car-details/used-Datsun-Go-T-Option-Bsiv-cars-Bangalore_fdb5aa41-2b55-4e04-bb54-ba327efd8902.htm
Petrol,SUV,30000,6946,Automatic,1,Hyundai,2021,1200000,2021.0,Third Party,18.15,998,bangalore,5,7-speed,3.0,118.0,171.0,3995.0,1770.0,1605.0,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-Sx-Plus-Turbo-Dct-Bsiv-cars-Bangalore_4338a832-d356-42a7-8213-7137bb4bf2a3.htm
Petrol,Sedan,37000,6555,Automatic,1,Maruti,2018,960000,2018.0,Comprehensive,20.28,1462,bangalore,5,4-speed,4.0,103.0,138.0,4490.0,1730.0,1485.0,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Alpha-Automatic-Bsiv-cars-Bangalore_35ce3a3d-46b2-477e-80bc-525323769cd9.htm
Petrol,Hatchback,11949,2985,Manual,1,Tata,2017,585000,2017.0,Comprehensive,23.84,1199,bangalore,5,5-speed,3.0,84.0,114.0,3746.0,1647.0,1535.0,https://www.cardekho.com/buy-used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-Wo-Alloy-cars-Bangalore_ce733b70-4d58-41e3-be21-57b3817a3f24.htm
Petrol,Hatchback,50000,3962,Manual,1,Maruti,2018,690000,2018.0,Third Party,21.4,1197,bangalore,5,5-speed,4.0,83.0,115.0,3995.0,1745.0,1510.0,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Bangalore_744cb0de-f4c9-456f-ba13-12ff4790082b.htm
Petrol,Hatchback,24887,5606,Automatic,1,Hyundai,2019,682000,2019.0,Third Party,18.9,1197,bangalore,5,4-speed,4.0,81.0,113.0,3765.0,1660.0,1520.0,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Option-At-cars-Bangalore_2ae96dd1-4f78-4741-8fe0-407f04e77d9e.htm
Petrol,Hatchback,23000,6506,Automatic,1,Honda,2018,825000,2018.0,Comprehensive,18.2,1199,bangalore,5,5-speed,4.0,88.0,110.0,3955.0,1694.0,1544.0,https://www.cardekho.com/used-car-details/used-Honda-Jazz-Vx-Cvt-cars-Bangalore_70ee4c47-368c-45b2-bce3-1a3bfa29fe69.htm
Petrol,Hatchback,48928,5653,Automatic,1,Tata,2018,595000,2018.0,Comprehensive,23.84,1199,bangalore,5,5-speed,3.0,83.0,114.0,3746.0,1647.0,1535.0,https://www.cardekho.com/buy-used-car-details/used-Tata-Tiago-1.2-Revotron-Xza-cars-Bangalore_a0012e6c-e749-439d-b986-b4e437833d93.htm
Diesel,SUV,108862,3822,Manual,3,Mahindra,2014,690000,2014.0,Comprehensive,15.1,2179,bangalore,7,6-speed,4.0,140.0,330.0,4585.0,1890.0,1785.0,https://www.cardekho.com/buy-used-car-details/used-Mahindra-Xuv500-W6-2wd-cars-Bangalore_26229268-6597-4c09-8732-0e19a60b1bd8.htm
Diesel,SUV,80000,5929,Manual,1,Jeep,2018,1350000,2018.0,Third Party,17.1,1956,bangalore,5,6-speed,4.0,170.0,350.0,4395.0,1818.0,1640.0,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Limited-cars-Bangalore_040afa97-4f27-47cd-b607-49825acb15a9.htm
Diesel,SUV,16000,8437,Automatic,1,Mercedes-Benz,2022,5595000,2022.0,Comprehensive,19.244623808934538,1950,bangalore,5,8g-dct,4.0,187.0,400.0,4436.0,2020.0,1611.0,https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gla-220d-4m-Bsvi-cars-Bangalore_4f4d0de4-2c1b-49a0-a93f-739978ec4566.htm
Diesel,Hatchback,65376,1657,Manual,2,Hyundai,2014,521000,2014.0,Comprehensive,21.27,1396,bangalore,5,6-speed,4.0,88.0,219.0,3995.0,1710.0,1505.0,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-Asta-1.4-Crdi-cars-Bangalore_711acc92-454a-432b-9cf8-a3462bc76535.htm
Petrol,SUV,10000,9207,Manual,1,Tata,2022,1005000,2022.0,Third Party,17.33,1199,bangalore,5,6-speed,3.0,118.0,170.0,3993.0,1811.0,1606.0,https://www.cardekho.com/used-car-details/used-Tata-Nexon-Xm-Plus-S-Bsvi-cars-Bangalore_93b84fc2-ff12-4467-a41e-85057bee8d7d.htm
Petrol,Sedan,67000,1215,Manual,2,Honda,2016,775000,2016.0,Comprehensive,17.8,1497,bangalore,5,5-speed,4.0,117.0,145.0,4440.0,1695.0,1495.0,https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-V-cars-Bangalore_da75931b-e084-4654-b37f-e58859731d64.htm
Diesel,Sedan,100000,5293,Automatic,3,BMW,2011,2200000,2011.0,Third Party,18.48,1995,bangalore,5,6-speed,4.0,177.0,35.0,4841.0,1846.0,1468.0,https://www.cardekho.com/used-car-details/used-Bmw-5-Series-520d-Sedan-cars-Bangalore_4c85afb1-33f5-46b3-960f-ef5713bf0ef7.htm
Petrol,Hatchback,18083,10403,Manual,1,Maruti,2016,582000,2016.0,Comprehensive,22.38,1197,bangalore,5,5-speed,4.0,88.0,113.0,3845.0,1735.0,1530.0,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vxi-cars-Bangalore_06c6ec2a-4bc6-44f3-970a-e6e5e2d2bf0c.htm
Petrol,SUV,30000,7703,Manual,1,Renault,2020,1090000,2020.0,Third Party,16.42,1498,bangalore,5,5-speed,4.0,104.0,142.0,4360.0,1822.0,1695.0,https://www.cardekho.com/used-car-details/used-Renault-Duster-Rxs-cars-Bangalore_d7c49586-8987-4425-ba29-a337e55a9981.htm
Petrol,Hatchback,57634,2983,Manual,2,Tata,2016,457000,2016.0,Comprehensive,23.84,1199,bangalore,5,5-speed,3.0,84.0,114.0,3746.0,1647.0,1535.0,https://www.cardekho.com/buy-used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-cars-Bangalore_a07a11ef-7ea9-4c4e-8408-5d740578ed49.htm
Petrol,Sedan,50000,4716,Automatic,2,Mercedes-Benz,2016,4900000,2016.0,Third Party,7.81,4663,bangalore,5,7-speed,8.0,453.0,700.0,5246.0,2130.0,1494.0,https://www.cardekho.com/used-car-details/used-Mercedes-benz-S-class-S-500-L-cars-Bangalore_7c4aefc7-1360-4e8b-90cc-b3b01950dd56.htm
Petrol,Sedan,110000,1279,Manual,1,Honda,2015,550000,2015.0,Third Party,17.4,1497,bangalore,5,5-speed,4.0,117.0,145.0,4440.0,1695.0,1495.0,https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-V-cars-Bangalore_f53848ab-17ee-4c81-a20d-eca5be0c2a63.htm
Petrol,Hatchback,23447,6670,Automatic,1,Hyundai,2018,570000,2018.0,Comprehensive,20.3,1086,bangalore,5,5-speed,4.0,68.0,99.0,3610.0,1645.0,1560.0,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Santro-Sportz-Amt-Bsiv-cars-Bangalore_62c24fe3-7f37-4062-ab62-39ac3c226446.htm
Lpg,Hatchback,30000,1712,Manual,2,Hyundai,2009,220000,2009.0,Third Party,13.45,1086,bangalore,5,5-speed,3.0,62.0,96.0,3565.0,1525.0,1590.0,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-Gls-Lpg-cars-Bangalore_1923dab1-8350-457e-9b8e-aef7cd688ceb.htm
